"geneSet","mean","median","meanabs","meansqr","maxmean","sig_n","sign_test","rank_sum","ks_orig","ks_weighted"
"GO:0005216",0.571428571428571,0.285714285714286,0.142857142857143,0.142857142857143,0.428571428571429,0.142857142857143,0.285714285714286,0,0.428571428571429,0.571428571428571
"GO:0005230",0.285714285714286,0.428571428571429,0,0,0.285714285714286,0,0.142857142857143,0,0.285714285714286,0.428571428571429
"GO:0005244",0.571428571428571,0.428571428571429,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0,0.571428571428571,0.428571428571429
"GO:0005245",0,0,0,0,0,0,0,0,0,0
"GO:0005246",0.285714285714286,0,0,0,0,0,0,0,0,0
"GO:0005249",0.428571428571429,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.428571428571429,0,0.571428571428571,0.428571428571429
"GO:0005251",0.142857142857143,0.285714285714286,0.285714285714286,0.142857142857143,0.142857142857143,0,0,0,0.142857142857143,0.142857142857143
"GO:0005253",0.571428571428571,0.285714285714286,0,0,0,0,0.142857142857143,0,0.428571428571429,0.428571428571429
"GO:0005254",0.571428571428571,0.428571428571429,0,0,0,0,0.142857142857143,0,0.428571428571429,0.428571428571429
"GO:0005261",0.428571428571429,0.285714285714286,0.142857142857143,0.142857142857143,0.285714285714286,0.142857142857143,0.142857142857143,0,0.285714285714286,0.285714285714286
"GO:0005262",0,0,0,0,0,0,0,0,0,0
"GO:0005267",0.428571428571429,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.285714285714286,0,0.428571428571429,0.428571428571429
"GO:0005272",0,0,0,0,0,0,0,0,0,0
"GO:0005319",0,0,0,0,0,0,0,0,0,0
"GO:0005342",0,0,0,0,0,0,0,0,0,0
"GO:0005496",0.714285714285714,0.714285714285714,0,0,0,0,0.285714285714286,0,0.857142857142857,0.571428571428571
"GO:0005506",0,0,0,0,0,0,0,0,0.142857142857143,0
"GO:0005516",0,0,0,0,0,0,0,0,0,0
"GO:0005518",0,0,0,0,0,0,0,0,0,0
"GO:0005525",0.142857142857143,0,0,0,0,0,0.142857142857143,0,0,0
"GO:0005539",0,0,0,0,0,0,0,0,0,0
"GO:0005543",0,0,0,0,0,0,0,0,0,0
"GO:0005544",0,0,0,0,0,0,0,0,0,0
"GO:0005546",0,0,0,0,0,0,0,0.142857142857143,0,0
"GO:0005548",0,0,0,0,0,0,0,0,0,0
"GO:0008013",0,0,0,0,0,0,0,0,0,0
"GO:0008017",0.571428571428571,0.714285714285714,0,0,0,0,0.142857142857143,0,0.571428571428571,0.571428571428571
"GO:0008022",0,0,0,0,0,0,0,0,0,0
"GO:0008028",0,0,0,0,0,0,0,0,0,0
"GO:0008080",0,0,0,0,0,0,0,0,0,0
"GO:0008081",0,0,0,0,0,0,0,0,0,0
"GO:0008083",0,0,0,0,0,0,0,0,0,0
"GO:0008135",0,0,0,0,0,0,0,0,0,0
"GO:0008144",0,0,0,0,0,0,0,0,0,0
"GO:0008146",0,0,0,0,0,0,0,0,0,0
"GO:0008168",1,0.857142857142857,0,0,0,0,0.714285714285714,0,1,0.714285714285714
"GO:0008170",0,0,0,0,0,0,0,0,0,0
"GO:0008173",0,0,0,0,0,0,0,0,0,0
"GO:0008194",0,0,0,0,0,0,0,0,0,0
"GO:0008201",0,0,0,0,0,0,0,0,0,0
"GO:0008227",0.285714285714286,0.142857142857143,0,0,0,0,0,0,0,0.285714285714286
"GO:0008233",0,0,0,0,0,0,0,0,0,0
"GO:0008234",0,0,0,0,0,0,0,0,0,0
"GO:0008236",0,0,0.142857142857143,0.285714285714286,0.428571428571429,0,0,0,0,0
